,MinLoggedUTC,MaxExternalBookingID,PaxType,ChannelID,RoleName,TripOriginLocationCode,TripDestinationLocationCode,NumberOfPassengers,FareClass,TripType,TreatmentRank,SegmentOriginLocationCode,SegmentDestinationLocationCode,TripReturnTravelDate,TripFirstTravelDate,SegmentFirstTravelDate,TotalFare,JourneySalesDate,AgeOfPassengersArray,FirstPaxProgramLevel,TreatmentProductSequence,TreatmentRanked,TreatmentIDBook,QuantityBooked,FinalStage,ProductID,ProductName,Amount,OriginalPrice,Role_Type,Price_Type
0,7/1/2019 12:00:25 AM,95612682,ADT,2,WWWM,RDU,DTW,2,Z,1,2,RDU,DTW,,8/21/2019 6:01:00 PM,8/21/2019 6:01:00 PM,56.6,2019-07-01T00:00:24,,,8,2,0,0,0,78,BAG1,33.0,30.0,INITIAL,CONTROL
1,7/1/2019 12:00:25 AM,95612682,ADT,2,WWWM,RDU,DTW,2,Z,1,2,RDU,DTW,,8/21/2019 6:01:00 PM,8/21/2019 6:01:00 PM,56.6,2019-07-01T00:00:24,,,1,2,0,0,0,84,COB1,36.0,25.0,INITIAL,CONTROL
2,7/1/2019 12:00:28 AM,95612977,ADT,2,TCMM,DEN,HRL,2,W,2,1,HRL,DEN,8/19/2019 10:39:00 AM,8/16/2019 3:35:00 PM,8/19/2019 10:39:00 AM,196.0,2019-07-01T00:00:28,035,B,8,1,0,0,0,78,BAG1,37.0,30.0,INITIAL,DISCOUNT
3,7/1/2019 12:00:28 AM,95612977,ADT,2,TCMM,DEN,HRL,2,W,2,1,HRL,DEN,8/19/2019 10:39:00 AM,8/16/2019 3:35:00 PM,8/19/2019 10:39:00 AM,196.0,2019-07-01T00:00:28,035,B,1,1,0,0,0,84,COB1,34.0,25.0,INITIAL,DISCOUNT
4,7/1/2019 12:00:28 AM,95612977,ADT,2,TCMM,DEN,HRL,2,W,2,2,DEN,HRL,8/19/2019 10:39:00 AM,8/16/2019 3:35:00 PM,8/16/2019 3:35:00 PM,196.0,2019-07-01T00:00:28,035,B,8,2,0,0,0,78,BAG1,29.0,30.0,INITIAL,DISCOUNT
5,7/1/2019 12:00:28 AM,95612977,ADT,2,TCMM,DEN,HRL,2,W,2,2,DEN,HRL,8/19/2019 10:39:00 AM,8/16/2019 3:35:00 PM,8/16/2019 3:35:00 PM,196.0,2019-07-01T00:00:28,035,B,1,2,0,0,0,84,COB1,38.0,25.0,INITIAL,DISCOUNT
6,7/1/2019 12:00:40 AM,95612810,ADT,2,WWWA,MYR,ISP,1,R,2,4,ISP,MYR,11/10/2019 7:10:00 AM,11/7/2019 10:04:00 AM,11/10/2019 7:10:00 AM,96.6,2019-07-01T00:00:40,,,8,4,0,0,0,78,BAG1,38.0,30.0,INITIAL,PREMIUM
7,7/1/2019 12:00:40 AM,95612810,ADT,2,WWWA,MYR,ISP,1,R,2,4,ISP,MYR,11/10/2019 7:10:00 AM,11/7/2019 10:04:00 AM,11/10/2019 7:10:00 AM,96.6,2019-07-01T00:00:40,,,1,4,611087434,1,2,84,COB1,37.0,25.0,INITIAL,PREMIUM
8,7/1/2019 12:00:40 AM,95612810,ADT,2,WWWA,MYR,ISP,1,R,2,3,MYR,ISP,11/10/2019 7:10:00 AM,11/7/2019 10:04:00 AM,11/7/2019 10:04:00 AM,96.6,2019-07-01T00:00:40,,,8,3,0,0,0,78,BAG1,39.0,30.0,INITIAL,PREMIUM
9,7/1/2019 12:00:40 AM,95612810,ADT,2,WWWA,MYR,ISP,1,R,2,3,MYR,ISP,11/10/2019 7:10:00 AM,11/7/2019 10:04:00 AM,11/7/2019 10:04:00 AM,96.6,2019-07-01T00:00:40,,,1,3,611087436,1,2,84,COB1,37.0,25.0,INITIAL,PREMIUM
